"Code","Company","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)","alpha.rtns","Exp.Rtn","Exp.Rtn.SD","Rtn.SD","Sharpe","RP.Exp.Rtn","RP.Exp.Rtn.SE","RP.Rtn.SD","RP.Sharpe","Rep. Port. Superior?"
"ALI","Argo Global Listed Infrastructure Ltd","264,030,000",0.0019254198522326,0.119160769297476,0.848695311141133,0.00022829865851696,"FALSE",0.00112464509582784,0.00997826784813342,0.0746705192023547,0.0150614339881593,-2.49315326402072e-05,0.00070962682033566,0.00540435685351204,-0.0046132284221767,"FALSE"
"AMH","Amcil Ltd","225,604,000",-0.00198973921911481,0.480173955773444,0.736703154783183,0.000207641196337213,"FALSE",-0.00291974221566945,0.00649947185596505,0.049498502962978,-0.0589864751637692,-0.000100464882208483,0.00285953438746993,0.0217775650833865,-0.00461322842217677,"TRUE"
"APL","Antipodes Global Investment Company Ltd","469,478,000",0.000206273625992344,-0.0302668299240012,0.985814184625458,0.000149208318406874,"FALSE",-0.000659119954350215,0.0113807590426848,0.0728724140665981,-0.00904484862746341,6.33260814456501e-06,0.000180245179745278,0.00137270639236569,0.00461322842217666,"TRUE"
"ARG","Argo Investments Ltd","4,818,030,000",-0.00234485156723637,0.509984374080362,0.861110079944952,0.104237633624728,"FALSE",-0.00328109167875275,0.0135672009061173,0.103324723782661,-0.0317551458995854,-0.000106701997170218,0.00303706154242816,0.0231295716156779,-0.00461322842217673,"TRUE"
"AUI","Australian United Investment Company Ltd","923,424,000",-0.0011783690519707,0.535537380616874,0.895654627536785,0.023162021151822,"FALSE",-0.00211995551715932,0.00942132692705688,0.0717506882326313,-0.0295461349483641,-0.000112048350842459,0.00318923493712364,0.0242884896624278,-0.0046132284221768,"TRUE"
"AUP","Aurora Property Buy-Write Income Trust","6,058,230",0.0017733987856111,-1.71120574882097,0.960653018063699,0.00122475585727811,"FALSE",0.00130188942714126,0.036905343402433,0.281062721746921,0.00463202454971431,0.000358028755876322,0.0101905811924096,0.0776091541782758,0.00461322842217679,"FALSE"
"AYF","Australian Enhanced Income Fund","16,222,500",-0.00510112399672603,0.355117290332649,0.0438889044580188,1.07195329518971e-16,"FALSE",-0.00600496188579863,0.00323830836475769,0.0246622217528157,-0.243488277170852,-7.42997747264286e-05,0.00211479629638738,0.0161058087584076,-0.00461322842217672,"TRUE"
"BAF","Blue Sky Alternatives Access Fund Ltd","129,028,000",0.00168810046883584,-0.205271510920493,0.938910022502676,0.016528737979084,"FALSE",0.000901510494257413,0.0217686226426749,0.165784890873783,0.00543783266078064,4.29481397677357e-05,0.00122243394750466,0.00930977958110107,0.0046132284221767,"FALSE"
"BEL","Bentley Capital Ltd","1,979,330",-0.027785562751649,0.269501541752185,0.480151292110638,0.404357865753917,"FALSE",-0.0286714875990147,0.0387783238201462,0.295326915639951,-0.097083896118597,-5.63867330195489e-05,0.00160493695430692,0.0122228356932178,-0.00461322842217677,"TRUE"
"BHD","Benjamin Hornigold Ltd","17,150,200",0,0,0,0,"FALSE",-0.000829538114346162,0,NA,NA,0,0,0,NA,NA
"BKI","BKI Investment Company Ltd","897,327,000",-0.00472410731469864,0.451170075081369,0.560385709167855,0.00339697508062146,"FALSE",-0.00564804194494086,0.00843314400702061,0.064224911326545,-0.087941607520857,-9.43965158960599e-05,0.0026868103294242,0.0204621378473862,-0.00461322842217672,"TRUE"
"BTC","BTC Health Ltd","19,690,600",-0.006018491102426,1.02582355916611,0.780530592100037,0.957118656898639,"FALSE",-0.00706265818987485,0.0221655924131408,0.168808122575539,-0.0418383788772631,-0.00021462897310269,0.00610898968518052,0.0465246793483978,-0.00461322842217678,"TRUE"
"BTI","Bailador Technology Investments Ltd","79,858,500",-0.00904819096137471,1.26720879504594,0.610951688656158,0.499760213073362,"FALSE",-0.0101428621192713,0.0190858044870934,0.145353156516582,-0.0697808177156038,-0.000265133043550386,0.00754648827152948,0.0574723424220317,-0.00461322842217667,"TRUE"
"CAM","Clime Capital Ltd","79,303,000",-0.00807460795757223,1.01279276556367,0.268055326453663,0.936770633415231,"FALSE",-0.00911604866403226,0.00935747556783219,0.071264410768275,-0.127918670283744,-0.000211902592113856,0.00603138863673928,0.0459336873706922,-0.00461322842217669,"TRUE"
"CD1","Cordish Dixon Private Equity Fund I","29,065,200",-0.0189303548045944,1.51342892245492,0.154936456836467,0.0841858119717256,"FALSE",-0.0200765416180156,0.0158302659166515,0.120559713426708,-0.166527781523143,-0.000316648699074974,0.0090127796285422,0.0686392847041298,-0.00461322842217676,"TRUE"
"CD2","Cordish Dixon Private Equity Fund Ii","50,774,800",-0.0142218906316175,1.26183928611519,0.227655308711142,0.316970382670482,"FALSE",-0.0153154383485699,0.0137847136829364,0.104981251738541,-0.145887366505339,-0.000264009602606212,0.00751451174459231,0.0572288164481646,-0.00461322842217679,"TRUE"
"CD3","Cordish Dixon Private Equity Fund Iii","57,622,700",0.00682040683291423,-1.09148550903491,0.749062718174851,4.93168062829039e-05,"FALSE",0.0059758209926411,0.0222799468922225,0.147788448381094,0.0404349667250825,0.000228367161065259,0.00650002006352689,0.0495026779873839,0.00461322842217668,"FALSE"
"CDM","Cadence Capital Ltd","151,416,000",-0.0140328448816389,0.553058842350646,0.3425187775832,0.175879115464145,"FALSE",-0.0149780972924042,0.0148977357045199,0.113457774916751,-0.132014727976063,-0.000115714296419138,0.00329357883529645,0.0250831491158932,-0.00461322842217682,"TRUE"
"CIE","Contango Income Generator Ltd","57,021,400",-0.0114193496876599,0.829937162541454,0.202870628628575,0.398255575621887,"FALSE",-0.0109341760361449,0.0100968530490514,0.0748802663068021,-0.146022130735286,-0.000173644443378578,0.004942446018139,0.0376405474621272,-0.00461322842217675,"TRUE"
